name,street_address,city,zip,region_id,tours,tour_cost,website
Adam Dalton Distillery,251 Biltmore Ave,Asheville,28801,,FALSE,FALSE,dalton-distillery.com
Apiary Distilling,,,,,,,
Asheville Distilling Company,12 Old Charlotte Hwy,Asheville,28803,,TRUE,0,https://ashevilledistilling.com/
Bogue Sound Distillery ,108 Bogue Commercial Dr,Newport,28570,,TRUE,12,https://boguesounddistillery.com
Broadslab Ditillery,4682 State Hwy 50 s,Benson,27504,,TRUE,12,http://broadslabdistillery.com/
Brothers Vilgalys Spirits,803 Ramseur St,Durham,27701,,TRUE,5,https://brothersvilgalys.com/
Carolina Craft Cocktails,2525 Pinewood Road,Gastonia,28054,,TRUE,0,carolinacraftcocktails.club
Copper Barrel Distillery,508 Main St,North Wilkesboro,28659,,TRUE,5,https://copperbarrel.com/
Covington Spirits,310 Kingold Blvd,Snow Hill,28580,,FALSE,,http://www.covingtonvodka.com/
Diablo Distilleries,245 Jim Parker Rd,Jacksonville,28546,,TRUE,Call,http://www.diablodistilleries.com/
Doc Porter's Distillery,232 Peterson Dr,Charlotte,28217,,TRUE,Call,https://www.docporters.com/
Durham Distillery,711 Washington St,Durham,27701,,TRUE,15,https://durhamdistillery.com/
Eda Rhyne Distillery,101 Fairview Rd Suite A,Asheville,28803,,TRUE,Call,https://edarhyne.com/
Elevated Mountain Distilling Co.,3732 Soco Rd,Maggie Valley,28751,,TRUE,Call,https://elevatedmountain.com/
Fair Game Beverage Company,192 Lorax Ln,Pittsboro,27312,,TRUE,Call,https://www.fairgamebeverage.com/
First Flight Vodka,,,,,TRUE,5,http://firstflightvodka.com/
GIA Distillery,"203 E Murphy St,",Madison ,27025,,,,https://www.giadistillery.com/
Great Wagon Road Distillery,227 Southside Dr,Charlotte,28217,,TRUE,5,https://www.gwrdistilling.com/
Greensboro Distilling Co.,115 W Lewis St,Greensboro,27406,,TRUE,10,https://faintinggoatspirits.com/
H&H Distillery,204 Charlotte Hwy Suite D,Asheville,28803,,TRUE,Call,https://www.hhdistillery.com/
Key City Spirits,,,,,,,
Lasssiter Distilling Co,,,,,,,
Linville Distilling Co. ,,,,,,,
Lizard Lick Brewing and Distillation LLC,138 E Vance St,Zebulon,27597,,,,https://licklifespirits.com/
Lonerider Spirits,8816 Gulf Ct #100,Raleigh,27617,,FALSE,,https://loneriderspirits.com/
Mayberry Spirits,461 N. South Street,Mount Airy,27030,,,,https://www.mayberryspirits.com/
Mother Earth Spirits,302 Mitchell Street,Kinston,28501,,TRUE,0,https://www.motherearthspirits.com/
Muddy River Distillery,1500 River Dr #100,Belmont,28012,,TRUE,8,http://www.muddyriverdistillery.com/
Murto Made Distillery,11941 Ramah Church Rd,Huntersville,28078,,TRUE,0,https://www.murtomadedistillery.com/
Mystic Farm and Ditillery,1212 N Mineral Springs Rd,Durham,27703,,TRUE,Call,http://www.whatismystic.com/
Oak & Grist Distilling Co.,1556 Grovestone Rd,Black Mountain,28711,,TRUE,Call,https://www.oakandgrist.com/
Old Nick Williams Co. ,2675 Williams Rd,Lewisville,27023,,TRUE,Call,http://oldnickwhiskey.com/
Old North State Gin Company,,,,,,,
Outer Banks Distilling,510 Budleigh St,Manteo,27954,,TRUE,10,https://outerbanksdistilling.com/
Pebble Brok Spirits,,,,,,,
Pine Top Distillers,1053 E Whitaker Mill Rd,Raleigh,,,,,
Pinnix Distillery Inc. ,,,,,,,
Scotts Point Distillery,,,,,,,http://scotts-point.com/home.html
Seven jars Distillery,6148 Brookshire Blvd,Charlotte,28216,,TRUE,15,http://sevenjarsdistillery.com/
Seventeen Twelve Spirits,300 Thornburg Dr,Conover,28613,,TRUE,0,
Seventy Eight C Spirits,2660 Discovery Dr Ste 136,Raleigh,27616,,TRUE,Call,https://78cspirits.com/
Social House Vodka,555 Fayetteville St 3rd Floor,Raleigh,27601,,FALSE,,https://socialhousevodka.com/
South Mountain Distilling Company,1027 Malcolm Blvd,Connelly Springs,28612,,TRUE,10,https://www.southmountaindistillery.com/
Southern Distilling Company,1027 Malcolm Blvd,Connelly Springs,28612,,TRUE,15,https://www.southerndistillingcompany.com/
Southern Grace Distilleries,130 Dutch Rd,Mt Pleasant,28124,,TRUE,Call,http://www.southerngracedistilleries.com/
Sutler's Spirit Co.,840 Mill Works St. Suite 120,Winston-Salem,27101,,,,http://www.sutlersspiritco.com/
TOPO Organic Spirits,505-C W Franklin Street,Chapel Hill,27516,,TRUE,20,http://www.topodistillery.com/
Two Doors Distilling Company,609 Foster St,Durham,27701,,FALSE,,https://www.facebook.com/TwoDoorsDistillingCo/
Walton's Distillery,261 Ben Williams Rd,Jacksonville,28540,,TRUE,Call,https://www.waltonsdistillery.com/
Warehouse Distillery,2628 NW Blvd,Newton,28658,,TRUE,0,http://www.warehousedistillery.com/
Windsor Run Cellars,6531 Windsor Rd,Hamptonville,27020,,TRUE,10,https://www.wrcdistillery.com/home